Store Name,Address,Contact,Latitude,Longitude,Store URL,formatted_address,street_number,route,locality,admin_area_3,admin_area_2,admin_area_1,country,country_code,postal_code,latitude,longitude,Shop ID
Asti,"Corso Torino, 30, 14010 Asti , AT","0141/419417, ",44.9023018,8.1909504,https://www.pampanorama.it/punti-vendita/asti,"Corso Torino, 113, 14100 Asti AT, Italy",113,Corso Torino,Asti,Asti,Provincia di Asti,Piemonte,Italy,IT,14100.0,44.9024069,8.1910632,67e2d43ac1670104499c18e9
Gignese,"Vicolo Balilla 1, 28836 Gignese , VB","032320708, ",45.860843,8.508743,https://www.pampanorama.it/punti-vendita/pam-gignese,"Via Regina Margherita, 25, 28836 Gignese VB, Italy",25,Via Regina Margherita,Gignese,Gignese,Provincia del Verbano-Cusio-Ossola,Piemonte,Italy,IT,28836.0,45.8608894,8.5088701,67e2d43ac1670104499c18ee
Pino Torinese,"via Chieri, 96, 10025 Pino Torinese , TO","011/8112977, ",45.028801,7.7975798,https://www.pampanorama.it/punti-vendita/pino-torinese,"Via Chieri, 96, 10025 Pino Torinese TO, Italy",96,Via Chieri,Pino Torinese,Pino Torinese,Città Metropolitana di Torino,Piemonte,Italy,IT,10025.0,45.0287428,7.7972686,67e2d43ac1670104499c18f3
Torino Volturno,"Via Volturno, 14, 10133 Torino , TO","0116602005, ",45.056103,7.695204,https://www.pampanorama.it/punti-vendita/pam-torino-volturno,"Via Bicocca, 2, 10133 Torino TO, Italy",2,Via Bicocca,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10133.0,45.0560728,7.695095299999998,67e2d43ac1670104499c18f8
Torino Montebello,"Via Montebello, 21, 10121 Torino , TO","011-19239947, ",45.0704002,7.6935,https://www.pampanorama.it/punti-vendita/pam-local-torino-montebello,"Corso S. Maurizio, 12C, 10124 Torino TO, Italy",12C,Corso San Maurizio,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10124.0,45.07039109999999,7.6935687,67e2d43ac1670104499c18fd
Torino Bogino,"Via Giambattista Bogino, 15, 10123 Torino , TO","327.7580201, ",45.067698,7.687134,https://www.pampanorama.it/punti-vendita/pam-torino-bogino,"Via Gianbattista Bogino, 15, 10123 Torino TO, Italy",15,Via Gianbattista Bogino,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10123.0,45.0677088,7.687160399999999,67e2d43ac1670104499c1902
Torino Madama Cristina,"Via Madama Cristina, 24, Torino , TO",", ",45.0569,7.6820698,https://www.pampanorama.it/punti-vendita/torino-madamacristina,"Via Madama Cristina, 26, 10125 Torino TO, Italy",26,Via Madama Cristina,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10125.0,45.0568556,7.6820701,67e2d43ac1670104499c1907
Torino Bramante,"C.so Bramante, 93, 10126 Torino , TO","011/6963626, ",45.0419998,7.6757898,https://www.pampanorama.it/punti-vendita/torino-bramante,"Via Pio Foà, 92, 10126 Torino TO, Italy",92,Via Pio Foà,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10126.0,45.0421551,7.6757894,67e2d43ac1670104499c190c
Torino Lagrange,"Via Lagrange, 47/A, 10123 Torino , TO","011/19697066, ",45.0633011,7.6811199,https://www.pampanorama.it/punti-vendita/torino-lagrange,"Via Guarino Guarini, 4, 10123 Torino TO, Italy",4,Via Guarino Guarini,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10123.0,45.063331,7.681092599999999,67e2d43ac1670104499c1911
Torino XX Settembre,"Via XX Settembre, 64, 10121 Torino , TO","011/19529739, ",45.0699005,7.6821799,https://www.pampanorama.it/punti-vendita/pam-local-torino-xx-settembre,"V. Antonio Bertola, 8, 10121 Torino TO, Italy",8,Via Antonio Bertola,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10121.0,45.0698857,7.6821666,67e2d43bc1670104499c1916
Torino Nizza,"Via Nizza 111, 10126 Torino , TO","011/19235131, ",45.0485001,7.6735301,https://www.pampanorama.it/punti-vendita/torino-nizza,"Via Nizza, 111/E, 10126 Torino TO, Italy",111/E,Via Nizza,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10126.0,45.0484736,7.673629,67e2d43bc1670104499c191b
Torino Nizza 162,"Via Nizza 162 - ang. Via Alassio, 10125 Torino , TO",", ",45.03906,7.66974,https://www.pampanorama.it/punti-vendita/torino-nizza-162,"Via Nizza, 162, 10126 Torino TO, Italy",162,Via Nizza,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10126.0,45.0390828,7.669728999999998,67e2d43bc1670104499c1920
Torino Filiberto,"Piazza Emanuele Filiberto, 12, 10122 Torino , TO","011 19235171, ",45.0772018,7.6809502,https://www.pampanorama.it/punti-vendita/torino-filiberto,"Corso Regina Margherita, 125, 10122 Torino TO, Italy",125,Corso Regina Margherita,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10122.0,45.0772395,7.6810506,67e2d43bc1670104499c1925
Torino Botero,"Via Botero, 18, 10122 Torino , TO","011/0464562, ",45.0707016,7.6778498,https://www.pampanorama.it/punti-vendita/pam-local-torino-botero,"Via Rodi, 2, 10122 Torino TO, Italy",2,Via Rodi,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10122.0,45.0706605,7.677886900000001,67e2d43bc1670104499c192a
Torino Lingotto,"Via Nizza, 230, 10126 Torino , TO","011/6648661, ",45.0343018,7.6679802,https://www.pampanorama.it/punti-vendita/torino-lingotto,"Via Nizza, 242, 10126 Torino TO, Italy",242,Via Nizza,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10126.0,45.0342977,7.6679844,67e2d43bc1670104499c192f
Torino San Secondo,"Via San Secondo, 33, 10100 Torino , TO","011/5683428, ",45.0587006,7.6728101,https://www.pampanorama.it/punti-vendita/pam-local-torino-san-secondo,"Via S. Secondo, 46, 10128 Torino TO, Italy",46,Via San Secondo,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10128.0,45.0587247,7.6728144,67e2d43bc1670104499c1934
Torino Carmine,"Via del Carmine, ang. Via Bligny, 10122 Torino , TO","011/19697029, ",45.0752983,7.6746302,https://www.pampanorama.it/punti-vendita/torino-carmine,"Via dei Quartieri, 0/H, 10122 Torino TO, Italy",0/H,Via dei Quartieri,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10122.0,45.07532579999999,7.674521399999999,67e2d43bc1670104499c1939
Torino Palestro,"Corso Palestro, 3, 10122 Torino , TO","011/19524296, ",45.0746002,7.6730099,https://www.pampanorama.it/punti-vendita/pam-local-torino-palestro,"Corso Palestro, 6, 10122 Torino TO, Italy",6,Corso Palestro,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10122.0,45.0745217,7.672917299999999,67e2d43bc1670104499c193e
San Domenico,"Via San Domenico, 35, 10122 Torino , TO","0114362008, ",45.0772018,7.6707301,https://www.pampanorama.it/punti-vendita/local-san-domenico,"Corso Giambattista Beccaria, 28, 10122 Torino TO, Italy",28,Corso Giambattista Beccaria,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10122.0,45.0771644,7.670717100000001,67e2d43bc1670104499c1943
Torino Corso Francia,"Corso Francia, 3, 10138 Torino , TO",", ",45.076266,7.667061,https://www.pampanorama.it/punti-vendita/torino-corso-francia,"C.so Francia, 3/a, 10138 Torino TO, Italy",3/a,Corso Francia,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10138.0,45.0762821,7.6670976,67e2d43bc1670104499c1948
Torino Acaja,"via Principi d'Acaja, 45/A, 10138 Torino , TO","011/19687998, ",45.0727997,7.6623001,https://www.pampanorama.it/punti-vendita/torino-acaja,"Via Pietro Palmieri, 51, 10138 Torino TO, Italy",51,Via Pietro Palmieri,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10138.0,45.072781,7.662299300000001,67e2d43bc1670104499c194d
Torino Cibrario,"Via Cibrario, 35, 10144 Torino , TO","011/19529770, ",45.0788002,7.6645098,https://www.pampanorama.it/punti-vendita/pam-local-torino-cibrario,"Via Michele Schina, 26, 10144 Torino TO, Italy",26,Via Michele Schina,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10144.0,45.0789479,7.664432499999998,67e2d43bc1670104499c1952
Torino Racconigi,"Corso Racconigi, 236/A, Torino , TO","011/19697041, ",45.0526009,7.6504202,https://www.pampanorama.it/punti-vendita/torino-racconigi,"Corso Racconigi, 270, 10141 Torino TO, Italy",270,Corso Racconigi,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10141.0,45.052584,7.6504234,67e2d43bc1670104499c1957
Torino Traiano,"C.so Traiano, 58, 10135 Torino , TO","011/615379, ",45.0237999,7.6445298,https://www.pampanorama.it/punti-vendita/torino-traiano,"Corso Traiano, 60/A, 10135 Torino TO, Italy",60/A,Corso Traiano,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10135.0,45.0237274,7.644638699999999,67e2d43bc1670104499c195c
Torino Santa Rita da Cascia,"Piazza Santa Rita Da Cascia 9, 10136 Torino , TO","011/19697053, ",45.0475998,7.6469402,https://www.pampanorama.it/punti-vendita/torino-cascia,"Via Tripoli, 72/A, 10136 Torino TO, Italy",72/A,Via Tripoli,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10136.0,45.0475857,7.6470198,67e2d43bc1670104499c1961
Torino San Paolo,"Via S. Paolo, 36, 10141 Torino , TO","011/3352820, ",45.0629997,7.6505199,https://www.pampanorama.it/punti-vendita/torino-san-paolo,"Via S Paolo, 36/D, 10141 Torino TO, Italy",36/D,Via San Paolo,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10141.0,45.0630731,7.650509299999999,67e2d43cc1670104499c1966
Torino Cosenza,"C.so Cosenza, 46/B, 10137 Torino , TO","011/322581, ",45.0355988,7.64218,https://www.pampanorama.it/punti-vendita/torino-cosenza,"Corso Cosenza, 46, 10137 Torino TO, Italy",46,Corso Cosenza,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10137.0,45.0356088,7.642174799999999,67e2d43cc1670104499c196b
Torino Svizzera,"C.so Svizzera, 52, 10143 Torino , TO","011/7764110, ",45.0806007,7.65066,https://www.pampanorama.it/punti-vendita/torino-svizzera,"Corso Svizzera, 52, 10143 Torino TO, Italy",52,Corso Svizzera,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10143.0,45.0805371,7.650652200000001,67e2d43cc1670104499c1970
Torino Orbassano,"C.so Orbassano, 212, 10137 Torino , TO","011/396061, ",45.042099,7.6378102,https://www.pampanorama.it/punti-vendita/torino-orbassano,"C.so Orbassano, 212, 10137 Torino TO, Italy",212,Corso Orbassano,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10137.0,45.0421142,7.637790000000001,67e2d43cc1670104499c1975
Torino Frejus 92,"Via Frejus, 92, 10100 Torino , TO","01119239936, ",45.070449,7.643841,https://www.pampanorama.it/punti-vendita/pam-torino-frejus-92,"Via Fréjus, 92A, 10139 Torino TO, Italy",92A,Via Fréjus,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10139.0,45.07046320000001,7.643844700000001,67e2d43cc1670104499c197a
Torino Delleani,"Via Lorenzo Delleani, 8, 10141 Torino , TO","01119524248, ",45.06732,7.636415,https://www.pampanorama.it/punti-vendita/pam-torino-delleani,"Via Lorenzo Delleani, 8, 10141 Torino TO, Italy",8,Via Lorenzo Delleani,Torino,Torino,Città Metropolitana di Torino,Piemonte,Italy,IT,10141.0,45.06734460000001,7.6363599,67e2d43cc1670104499c197f
