Store Name,Address,Contact,Latitude,Longitude,Store URL
Bologna Corticella 2,"Via di Corticella, 101, Bologna , BO",", ",44.5490591,11.3551801,https://www.pampanorama.it/punti-vendita/pam-di-bologna
Bologna Castel San Pietro Terme,"Via Emilia Ponente, 211, 40024 Bologna , BO","05119987531, ",44.41706000,11.54953000,https://www.pampanorama.it/punti-vendita/bologna-castelpietro
Pam Imola,"Via G. Di Vittorio, 70 - 40026 Imola (BO), Imola , BO",", ",N/A,N/A,https://www.pampanorama.it/punti-vendita/pam-imola
Spilimbergo,"Via Cavour, 57, 33097 Spilimbergo , PN","0427/40259, ",46.11100010,12.89360050,https://www.pampanorama.it/punti-vendita/spilimbergo
Sturno Aufiero,"Via Aufiero, 7, 83055 Sturno , AV","0825-448524, ",41.01741,15.10984,https://www.pampanorama.it/punti-vendita/sturno-via-f-aufiero-retail-pro
Benevento,"Via Ruffilli - 3, Benevento , BN",", ",41.11746250423804,14.79645392763751,https://www.pampanorama.it/punti-vendita/benevento
Benevento Oderisio,"Via Oderisio, 3/5, 82100 Benevento , BN","0824315524, ",41.13052,14.78364,https://www.pampanorama.it/punti-vendita/benevento-via-oderisio
Benevento Napoli,"Via Napoli, 123, 82100 Benevento , BN","0824 363144, ",41.1232,14.7734,https://www.pampanorama.it/punti-vendita/benevento-via-napoli-retail-pro
Pordenone Garibaldi,"C.so Garibaldi, 30, 33170 Pordenone , PN","0434/28016, ",45.96030050,12.65690040,https://www.pampanorama.it/punti-vendita/pordenone-garibaldi
Pordenone Grigoletti,"Via Grigoletti, 74, 33170 Pordenone , PN","0434/366892, ",45.96551330263758,12.64464736445893,https://www.pampanorama.it/punti-vendita/pordenone-grigoletti
Airola,"Via Lavatoio - 104, Airola , BN",", ",41.061903,14.567714,https://www.pampanorama.it/punti-vendita/airola
Moiano Variante,"Via Variante Caudina SP16, 26, 80069 Moiano , BN","3516913052, ",41.07637,14.54996,https://www.pampanorama.it/punti-vendita/moiano-via-variante-retail-pro
Cervinara Rettifilo,"Via Rettifilo, 38, 83012 Cervinara , AV","0824 1810464, ",41.02543,14.61502,https://www.pampanorama.it/punti-vendita/cervinara-via-rettifilo-retail-pro
Montesarchio,"Via Napoli, 82016 Montesarchio BN, Montesarchio , BN",", ",41.061424,14.635149,https://www.pampanorama.it/punti-vendita/montesarchio
Montesarchio S.Martino,"Via San Martino Vescovo, 149A, 82016 Montesarchio , BN",", ",41.05833,14.64431,https://www.pampanorama.it/punti-vendita/montesarchio-v-smartino-retail-pro
San Martino Valle Caudina,"Via San Martino Vescovo, 5, 83018 San Martino Valle Caudina , AV","0824 841034, ",41.02713,14.66325,https://www.pampanorama.it/punti-vendita/san-martino-valle-caudina-retail-pro
Foglianise Provinciale Vitulanese,"Via Provinciale Vitulanese SNC, 82030 Foglianise , BN",", ",41.16018,14.67107,https://www.pampanorama.it/punti-vendita/foglianise-via-provinciale-vitulanese-snc-retail-pro
Sant'Agata Dei Goti Cap.,"Via Cappellino, SNC, 82019 Sant'Agata De' Goti , BN","3791338758, ",41.09522,14.48992,https://www.pampanorama.it/punti-vendita/sant-agata-dei-goti-cap-retail-pro
Torrecuso Cda Collepiano,"Contrada Collepiano, SNC, 82030 Torrecuso , BN","0824 875485, ",41.20752,14.69851,https://www.pampanorama.it/punti-vendita/torrecuso-cda-collepiano-retail-pro
Udine Sud,"Viale Palmanova, 109, 33100 Udine , UD","0432/627011, ",46.05239870,13.24689960,https://www.pampanorama.it/punti-vendita/panorama-udine-sud
Udine Battisti,"Via Battisti, 9, 33100 Udine , UD","373 8864192, ",46.060512,13.233766,https://www.pampanorama.it/punti-vendita/pam-udine-battisti
Udine,"Viale Venezia, 327/329, 33010 Udine , UD","0432537600, ",46.05369950,13.21350000,https://www.pampanorama.it/punti-vendita/panorama-udine
Trieste Elisi,"Via Campi Elisi-ang.Via D'Aviano, 34143 Trieste , TS","040/767923, ",45.64199830,13.76799970,https://www.pampanorama.it/punti-vendita/trieste-elisi
Trieste Battisti,"Via Battisti, 22, 34125 Trieste , TS","040/9852437, ",45.65340040,13.77929970,https://www.pampanorama.it/punti-vendita/trieste-battisti
Trieste Miramare,"Via Miramare, 1, 34135 Trieste , TS","040/4261004, ",45.65779880,13.77280050,https://www.pampanorama.it/punti-vendita/trieste-miramare-ra
Trieste Giulia,"Via Giulia, 75/3, 34126 Trieste , TS","040/571470, ",45.65530010,13.79459950,https://www.pampanorama.it/punti-vendita/trieste-giulia
Trieste Stock,"Via Lionello Stock, 4, 34135 Trieste , TS","040/4528146, ",45.66490170,13.77070050,https://www.pampanorama.it/punti-vendita/trieste-stock
Cassino,"Viale Dante, 65, 03043 Cassino , FR","077621391, ",41.489159,13.830384,https://www.pampanorama.it/punti-vendita/pam-cassino
Cassino,"Via Casilina Sud, 141, 03043 Cassino , FR","0776/37081, ",41.48400120,13.86100010,https://www.pampanorama.it/punti-vendita/panorama-cassino
Genova Archi,"Via alla Porta degli Archi, 48 - salita Salvatore Viale 11r, 16121 Genova , GE","010 0954181‬, ",44.40570000,8.93796000,https://www.pampanorama.it/punti-vendita/pam-genova-archi
Genova Fiasella,"Via Fiasella, 81, 16121 Genova , GE","010/0898120, ",44.40399000,8.94134000,https://www.pampanorama.it/punti-vendita/pam-fiasella
Genova Galata,"Via Galata, 50b rosso, 16121 Genova , GE","010/8174164, ",44.40679930,8.94365030,https://www.pampanorama.it/punti-vendita/genova-galata
Genova Ruspoli,"Via Ruspoli, 53, 16129 Genova , GE","010 7967171, ",44.39889700,8.94679000,https://www.pampanorama.it/punti-vendita/genova-ruspoli
Genova Lagaccio,"Via Lagaccio, 48/R, 16158 Genova , GE","010/2850054, ",44.42449950,8.91637040,https://www.pampanorama.it/punti-vendita/genova-lagaccio
Genova Manuzio,"Via Manuzio, 11, 16143 Genova , GE","010/500044, ",44.40869900,8.96588040,https://www.pampanorama.it/punti-vendita/genova-manuzio
Genova Cantore,"via Cantore 99 Rosso, 16149 Genova , GE","010/8174760, ",44.41080090,8.90353970,https://www.pampanorama.it/punti-vendita/genova-cantore
Genova Ragazzi,"Piazza Ragazzi del '99, 5, 16132 Genova , GE","010392549, ",44.400341,8.98162,https://www.pampanorama.it/punti-vendita/pam-genova-ragazzi
Genova Chiaravagna,"Via Chiaravagna, 54R, 16153 Genova , GE","010/8981109, ",44.43370060,8.85453030,https://www.pampanorama.it/punti-vendita/genova-chiaravagna
Genova Sestri,"Via Sestri Ponente, 46, 16154 Genova , GE","010/2899008, ",44.42511700,8.84759500,https://www.pampanorama.it/punti-vendita/genova-sestri
Brescia,"Via F.lli Porcellaga, 26 - ang. Via Malvezzi, 25122 Brescia , BS","030/40325, ",45.53879930,10.21689990,https://www.pampanorama.it/punti-vendita/brescia
Alatri,"Via Casilina Nord, Km 81,6, 03011 Alatri , FR","0775/8271, ",41.65700150,13.32339950,https://www.pampanorama.it/punti-vendita/panorama-alatri
Quinzano D'Oglio,"Via De Gasperi, 3, 25027 Quinzano D'Oglio , BS","030933002, ",45.312458,10.007159,https://www.pampanorama.it/punti-vendita/pam-quinzano-d-oglio
Bordighera,"Via dei Colli, 3, 18012 Bordighera , IM","0184 260737, ",N/A,N/A,https://www.pampanorama.it/punti-vendita/bordighera
Sanremo Agosti,"Via Pietro Agosti, 307, 18038 Sanremo , IM","0184 1912048, ",43.82293,7.76586,https://www.pampanorama.it/punti-vendita/pam-sanremo-agosti
